"herd_hab","disturb_ha_2020","disturb_ha_2030","disturb_ha_2040","disturb_ha_2050","disturb_ha_2060","disturb_ha_2070","disturb_ha_2080","disturb_ha_2090","calc_area_ha","perc_disturb_2020","perc_disturb_2030","perc_disturb_2040","perc_disturb_2050","perc_disturb_2060","perc_disturb_2070","perc_disturb_2080","perc_disturb_2090"
"1","Frog_None",22462.76171875,14097.9736328125,9974.9677734375,5808.96826171875,1297.96801757812,1297.96801757812,1297.96801757812,1297.96801757812,503003.058213628,4.46573064556,2.80276101757318,1.9830829277386,1.15485744407774,0.258043762633919,0.258043762633919,0.258043762633919,0.258043762633919
"2","Gataga_None",38198.28125,28449.775390625,24189.255859375,20232.8515625,19688.458984375,19688.458984375,19688.458984375,19688.458984375,500726.110873288,7.62857786333142,5.68170398404177,4.83083572717786,4.04070231672421,3.93198168756118,3.93198168756118,3.93198168756118,3.93198168756118
"3","Hart_Ranges_HEWSR",0,0,0,0,0,0,0,0,13.8086837595607,0,0,0,0,0,0,0,0
"4","Graham_HESR",8751.1533203125,10742.3759765625,13586.982421875,14958.8505859375,13964.744140625,15329.01953125,15729.3720703125,16189.7431640625,107635.57459711,8.13035407026805,9.98032111295198,12.6231336365625,13.897682659223,12.974097265608,14.2415921396137,14.6135440157114,15.0412567821209
"5","Graham_HEWSR",5887.77734375,6368.55029296875,7170.57763671875,8011.373046875,10143.0400390625,10682.01171875,10885.4130859375,11163.2275390625,22280.8354737927,26.4252987760506,28.5830856767449,32.182714356259,35.9563403997942,45.5236072767244,47.9425995103031,48.8554978054624,50.1023740882292
"6","Graham_Matrix",70859.046875,80958.9765625,88554.5625,96346.9609375,108101.09375,115447.6328125,117507.1796875,119146.9140625,283002.166890829,25.0383407496433,28.6071931716801,31.291125249285,34.0446018474009,38.1979738662923,40.7939041883856,41.5216536956162,42.1010606991084
"7","Moberly_HESR",997.196716308594,998.788330078125,949.343688964844,992.943908691406,1070.74243164062,1185.0791015625,1457.92248535156,1465.32104492188,16366.5734909917,6.09288631403183,6.10261109711124,5.80050362702597,6.06690159817467,6.54225169507821,7.24085039678451,8.90792740553798,8.95313271118357
"8","Moberly_HEWR",2857.21655273438,2795.8955078125,2772.47045898438,2780.12060546875,2940.40991210938,3512.56640625,3880.8583984375,4400.1953125,22395.1030488294,12.7582201631518,12.4844056386633,12.3798066610339,12.4139665685266,13.1297002996513,15.6845288837981,17.329049078166,19.648024404737
"9","Moberly_HEWSR",5230.35498046875,5019.02197265625,4968.56201171875,5255.22021484375,5153.25390625,5807.37451171875,6395.33056640625,6717.2001953125,104883.634801295,4.98681704765265,4.78532421398716,4.73721379043719,5.01052449679103,4.91330598525972,5.53696915893596,6.09754856276897,6.4044311660617
"10","Moberly_Matrix",99613.96875,100505.046875,102496.84375,104734.5703125,108943.2109375,113807.5390625,118247.9921875,121491.0234375,177775.341981896,56.0336251582879,56.5348634712429,57.6552645644399,58.9140030022644,61.2813957903084,64.0176178505621,66.5154069564619,68.339637029005
"11","Chase_None",316571.34375,315925.625,321780.40625,332938.65625,284543.65625,302497.625,310372.5,316212.78125,935302.052494197,33.8469634387939,33.7779249128677,34.4039025031431,35.5969128221352,30.4226485434517,32.3422389797308,33.1841996040018,33.8086268929643
"12","Muskwa_None",0,0,0,0,0,0,0,0,86294.6349490309,0,0,0,0,0,0,0,0
"13","Wolverine_None",256835.203125,260838.46875,270972.75,287928.84375,296427,309226.03125,313844.625,317212.90625,596778.950030447,43.0369072354004,43.7077193719203,45.4058826951211,48.2471514344315,49.6711554562835,51.8158408962353,52.5897612481117,53.1541714455271
"14","Kennedy_Siding_HESR",81.4747695922852,62.5512237548828,84.1539154052734,169.805297851562,467.328369140625,721.1240234375,738.187316894531,761.970520019531,2817.34207214607,2.89190192407921,2.22022112164872,2.98699672422704,6.02714521358124,16.5875622190473,25.5958987219537,26.2015508941102,27.0457225465387
"15","Kennedy_Siding_HEWR",381.585510253906,378.523315429688,411.303741455078,442.889495849609,497.113952636719,508.645263671875,560.038024902344,659.617980957031,4925.89216987952,7.74652584941256,7.68436056607681,8.34983242162887,8.99105137862654,10.0918561651924,10.325952053561,11.369270897297,13.3908327305745
"16","Kennedy_Siding_HEWSR",816.026672363281,811.790588378906,817.266052246094,859.248657226562,665.615905761719,799.292785644531,854.400756835938,961.185668945312,29787.827031791,2.73946357850265,2.72524272251388,2.74362427099455,2.88456306769047,2.23452319986732,2.68328664857456,2.86828829751186,3.22677336591047
