"herd_elev","disturb_ha_2020","disturb_ha_2030","disturb_ha_2040","disturb_ha_2050","disturb_ha_2060","disturb_ha_2070","disturb_ha_2080","disturb_ha_2090","calc_area_ha","perc_disturb_2020","perc_disturb_2030","perc_disturb_2040","perc_disturb_2050","perc_disturb_2060","perc_disturb_2070","perc_disturb_2080","perc_disturb_2090"
"1","Graham_>1300m",18765.7619628906,19536.8615722656,23077.7275390625,30546.1843261719,33173.1225585938,40550.4848632812,46936.939453125,61870.7963867188,229486.473041461,8.17728457550534,8.51329549551965,10.056247426354,13.3106687820563,14.4553716473739,17.6700980784846,20.4530309917853,26.9605417551302
"2","Moberly_>1300m",6170.69403076172,8474.37353515625,13777.9116210938,14788.3430175781,16669.7800292969,17680.1235351562,18528.4128417969,35392.404296875,127034.987535841,4.85747599968926,6.67089728549415,10.8457613830257,11.641157530248,13.1221959813187,13.9175229423847,14.585283315409,27.8603595618802
"3","Chase_>1300m",58856.88671875,63421.546875,61518.390625,75847.2421875,81690.28125,91920.8671875,104993.953125,129598.5703125,545419.183611285,10.7911288211485,11.6280374399519,11.279102839339,13.9062292758583,14.9775225559759,16.8532515814499,19.250139393672,23.761278335392
"4","Finlay_>1300m",8671.166015625,7120.29931640625,21899.06640625,24575.19921875,28973.1953125,44268.375,51531.5078125,67607.1171875,470287.458544394,1.84380124497972,1.51403129873898,4.65652783385521,5.22556975999609,6.16074164558335,9.41304604146087,10.9574488701011,14.3757006399349
"5","Frog_>1300m",7641.9560546875,9898.1669921875,7421.14599609375,6693.22412109375,4967.369140625,4967.369140625,4967.369140625,4967.369140625,350640.142185529,2.1794298870219,2.82288471892937,2.11645647581534,1.90885848932615,1.4166572913368,1.4166572913368,1.4166572913368,1.4166572913368
"6","Gataga_>1300m",13643.44140625,11132.5869140625,9234.6083984375,9234.6083984375,9206.6103515625,9288.431640625,9288.431640625,9288.431640625,312335.998774712,4.36819369517857,3.56429837026005,2.95662633659414,2.95662633659414,2.94766225721014,2.97385881776783,2.97385881776783,2.97385881776783
"7","Rabbit_>1300m",1674.818359375,1523.22204589844,1523.22204589844,998.487426757812,0,0,0,0,88933.4338500569,1.88322691126351,1.71276648157611,1.71276648157611,1.12273571763942,0,0,0,0
"8","Spatsizi_>1300m",5508.568359375,8098.0107421875,8098.0107421875,8098.0107421875,10362.4892578125,14123.4892578125,14717.4892578125,14757.63671875,155483.362344659,3.54286675841508,5.20828120775821,5.20828120775821,5.20828120775821,6.66469331608743,9.08360164382413,9.46563608856638,9.49145715413384
"9","Thutade_>1300m",15856.845703125,19737.978515625,19305.197265625,18971.37109375,17928.748046875,27101.07421875,45679.5703125,55922.390625,420863.829200174,3.76769030811223,4.68987286294852,4.58704120577749,4.50772192274254,4.25998786375809,6.43939258696902,10.8537648386917,13.2875259751538
"10","Wolverine_>1300m",23609.76953125,25474.591796875,32649.818359375,51187.0078125,53620.2421875,56743.42578125,58245.71484375,71004.109375,221417.371875139,10.663015883218,11.5052362789495,14.74582508268,23.1178824764325,24.2168180994116,25.6273594527392,26.3058468947034,32.0679939309552
"11","Muskwa_>1300m",0,0,0,568.986999511719,568.986999511719,568.986999511719,568.986999511719,568.986999511719,80944.5315305483,0,0,0,0.702934452461417,0.702934452461417,0.702934452461417,0.702934452461417,0.702934452461417
"12","Scott_>1300m",6461.97705078125,9090.3583984375,13310.2275390625,13669.759765625,13864.5087890625,13979.5283203125,14247.5283203125,14468.92578125,22962.653494542,28.1412470571714,39.5875781542329,57.9646753029925,59.5304012616582,60.3785132774746,60.879411535062,62.0465240382564,63.0106872652551
"13","Hart_Ranges_>1300m",0,0,0,0,0,0,0,0.000842094188556075,13.8086837595607,0,0,0,0,0,0,0,0.00609829440096371
"14","Kennedy_Siding_>1300m",1128.2587852478,2581.92733001709,3360.67086791992,3685.07675933838,3604.4880734235,3690.39254577458,3717.8333645612,7186.43457651138,33781.9728814289,3.33982502800493,7.64291457778198,9.94811901517863,10.9084119280795,10.6698566305611,10.9241474993999,11.0053766771124,21.2729866362009
"15","Pink_Mountain_>1300m",0,0,0,478.067352294922,478.067352294922,478.067352294922,478.067352294922,478.067352294922,6980.92351284559,0,0,0,6.84819639429125,6.84819639429125,6.84819639429125,6.84819639429125,6.84819639429125
"16","Graham_<=1300m",66732.2165527344,66806.3254394531,77271.9157714844,97917.1193847656,120318.820800781,143916.813476562,154092.812988281,172836.070800781,183432.10392027,36.3797912832859,36.420192546279,42.1256225709928,53.3805791309714,65.5931095099244,78.4578110378741,84.0053674875029,94.2234576756015
"17","Moberly_<=1300m",102528.039855957,115969.163787842,132383.285461426,136270.599182129,141866.221038818,144068.403961182,146779.045440674,173991.230285645,194385.665787182,52.7446504045246,59.6593186633459,68.1034195218704,70.1032139537083,72.9818325154369,74.1147261953517,75.5091919181791,89.5082616205528
"18","Chase_<=1300m",257714.46875,256427.75,254829.734375,275213.40625,263347.53125,287197.8125,301996.15625,356690.28125,389882.868882883,66.1004853812684,65.7704583775976,65.3605876824376,70.5887404180026,67.5452943096884,73.6625882852707,77.4581753528434,91.4865231888776
"19","Finlay_<=1300m",120610.4453125,108209.3046875,122115.1015625,126555.5546875,138769.953125,157735.71875,174305.96875,229929.5,333221.352417362,36.195293139989,32.4737007105016,36.6468417094562,37.9794253187558,41.6449762652634,47.3366180185341,52.3093635763415,69.0020307318157
"20","Frog_<=1300m",14820.8056640625,17796.529296875,16170.025390625,14143.947265625,11358.802734375,11359.025390625,11359.025390625,11359.025390625,152362.916028097,9.72730507555356,11.6803548795254,10.6128353356292,9.28306416964134,7.45509670626174,7.45524284172291,7.45524284172291,7.45524284172291
"21","Gataga_<=1300m",24554.83984375,18486.466796875,17163.650390625,13487.2724609375,12970.8798828125,13201.9990234375,13201.9990234375,13201.9990234375,188390.112098587,13.0340385544758,9.81286469387565,9.11069599111605,7.15922524313773,6.88511713185068,7.00779827368473,7.00779827368473,7.00779827368473
"22","Rabbit_<=1300m",7394.474609375,4924.68212890625,4924.68212890625,3571.64038085938,1387.51916503906,1387.51916503906,1387.51916503906,1387.51916503906,47829.0017314381,15.4602319548614,10.2964351139055,10.2964351139055,7.46752023158311,2.90099963371605,2.90099963371605,2.90099963371605,2.90099963371605
"23","Spatsizi_<=1300m",3130.25415039062,4465.49609375,4465.49609375,4465.49609375,4594.01806640625,4594.01806640625,4594.01806640625,4607.87060546875,15326.3156405422,20.4240485698354,29.1361355102042,29.1361355102042,29.1361355102042,29.9747060817007,29.9747060817007,29.9747060817007,30.0650900943192
"24","Thutade_<=1300m",58775.1796875,59413.23828125,57744.8671875,57366.38671875,55751.85546875,64065.15234375,75433,91350.5234375,170075.548731214,34.5582772632343,34.9334391242484,33.9524803055374,33.7299436319394,32.7806412412991,37.6686436243684,44.3526424361057,53.7117322971979
"25","Wolverine_<=1300m",233225.4375,234196.015625,259800,284372.53125,285981.84375,295002.6875,297845.0625,307844.46875,375361.578155319,62.1335403176226,62.3921118341241,69.2132639884891,75.7596269302583,76.1883635388129,78.5916046468486,79.3488411796787,82.0127809198997
"26","Muskwa_<=1300m",0,0,0,134.435012817383,134.435012817383,134.435012817383,134.435012817383,134.435012817383,5350.10341848141,0,0,0,2.51275540493274,2.51275540493274,2.51275540493274,2.51275540493274,2.51275540493274
"27","Scott_<=1300m",137256.125,157011.90625,167421.359375,167700.046875,167318.796875,167562.84375,167614.84375,167776.84375,170474.64087399,80.5141012741338,92.1027933803122,98.2089526727634,98.3724300665689,98.1487897655567,98.2919470549628,98.3224501255271,98.4174789222851
"28","Kennedy_Siding_<=1300m",45070.7150845528,54200.822769165,57601.6741485596,59019.3982543945,59913.2188415527,60145.3390808105,60453.1188049316,65457.7587280273,73924.2459026336,60.9687857268316,73.3194124706439,77.919867081806,79.8376737344464,81.0467771568005,81.3607745962381,81.7771193561515,88.5470767118036
"29","Pink_Mountain_<=1300m",0,0,0,187.41926574707,187.41926574707,187.41926574707,187.41926574707,187.41926574707,295.349559975924,0,0,0,63.4567614599961,63.4567614599961,63.4567614599961,63.4567614599961,63.4567614599961
