"LANDSCAP_2","disturb_ha_2020","disturb_ha_2030","disturb_ha_2040","disturb_ha_2050","disturb_ha_2060","disturb_ha_2070","disturb_ha_2080","disturb_ha_2090","calc_area_ha","perc_disturb_2020","perc_disturb_2030","perc_disturb_2040","perc_disturb_2050","perc_disturb_2060","perc_disturb_2070","perc_disturb_2080","perc_disturb_2090"
"1","Upper Stikine River",0,0,0,0,0,0,0,0,0.0441169872140867,0,0,0,0,0,0,0,0
"2","Chukachida River",0,0,0,0,0,0,0,0,0.0241562180627298,0,0,0,0,0,0,0,0
"3","Graham",0.0108041269833095,0.0108041269833095,0.0101855367394066,0.0120971600264212,0.0120971600264212,0.0120971600264212,0.0120971600264212,0.0120971600264212,0.172565513075599,6.26088422347534,6.26088422347534,5.90241732422191,7.01018402276104,7.01018402276104,7.01018402276104,7.01018402276104,7.01018402276104
"4","Crying Girl",0,0,0,0,0.00249049379726785,0.00809504155768082,0.00809504155768082,0.00809504155768082,0.0366369303836807,0,0,0,0,6.79776873003857,22.0953051276551,22.0953051276551,22.0953051276551
"5","Lake",3422.8678487139,3450.0905948477,3627.46119429341,4028.38603593579,4037.48521949521,4102.49207907535,4164.15455866761,4360.21905105124,5901.9433006761,57.9956071133687,58.4568576667362,61.4621491514136,68.2552479871217,68.4094206569672,69.5108690489349,70.5556516984936,73.8776845001502
"6","Carbon",0.00729657977353781,0.00637334759812802,0.00733811769168824,0.00776972528547049,0.00776972528547049,0.0078748679952696,0.0078748679952696,0.0101720920065418,0.0706972126627718,10.3208874844087,9.01499133852577,10.3796421602805,10.9901437310299,10.9901437310299,11.1388662984961,11.1388662984961,14.3882504322526
"7","Pine Pass",2897.72680512248,2894.34976393506,3099.27646057871,3099.27646057871,1998.81077350742,2010.91331256992,2024.91331256992,2298.60807164431,10255.3691489493,28.2557045293621,28.2227750351784,30.2210131645649,30.2210131645649,19.490383471103,19.6083952060949,19.7449090633405,22.4137038682786
"8","Burnt - Lemoray",0,0,0,0,0,0,0,0.00176709948573261,0.0275433803008657,0,0,0,0,0,0,0,6.41569577310405
"9","Prophet",0,0,0,0,0,0,0,0,0.0135177580516492,0,0,0,0,0,0,0,0
"10","Gathto",0,0.000154434965224937,0.000154434965224937,0.000196460423467215,0.000196460423467215,0.000196460423467215,0.000196460423467215,0.000196460423467215,0.0306115686779079,0,0.504498697371204,0.504498697371204,0.641784893594817,0.641784893594817,0.641784893594817,0.641784893594817,0.641784893594817
"11","Tuchodi",0,0,0,0,0,0,0,0,0.0387833582650108,0,0,0,0,0,0,0,0
"12","Churchill",0,0,0,0,0,0,0,0,0.0910329781866475,0,0,0,0,0,0,0,0
"13","Netson",0,0,0,0,0,0,0,0,0.0244813135113224,0,0,0,0,0,0,0,0
"14","Kechika",0,0,0,0,0,0,0,0,0.000107812145538628,0,0,0,0,0,0,0,0
"15","Sikanni",0,0,0,0,0,0,0,0,0.097935208469326,0,0,0,0,0,0,0,0
"16","Bluff Creek",0,0,0,0,0,0,0,0,24474.3620029249,0,0,0,0,0,0,0,0
"17","Frog-Gataga",25842.8393554688,15678.7657470703,15500.8472900391,9888.84753417969,5277.30133056641,5277.30133056641,5277.30133056641,5277.30133056641,313803.861917964,8.23534777345242,4.99635844225816,4.93966109763537,3.15128292996116,1.68171968895208,1.68171968895208,1.68171968895208,1.68171968895208
"18","Frog",9247.5576171875,8226.4541015625,7637.45361328125,5008.45361328125,1412,1412,1412,1412,252777.217430891,3.6583825517091,3.25442861709307,3.02141691838558,1.98137065681188,0.558594644861947,0.558594644861947,0.558594644861947,0.558594644861947
"19","Upper Gataga",0,0,0,0,0,0,0,0,101148.582907643,0,0,0,0,0,0,0,0
"20","Kwadacha",7474.99035644531,39,2009.84625244141,3901.7548828125,3901.7548828125,8068.32531738281,8068.32531738281,8068.32531738281,115960.133206016,6.44617261965817,0.0336322483613505,1.73322175205741,3.36473818625287,3.36473818625287,6.95784412652284,6.95784412652284,6.95784412652284
"21","Upper Akie River",6918.7265625,2160.56298828125,14368.2763671875,14700.2763671875,15087.2763671875,25018.158203125,31752.158203125,40976.1640625,148524.710564093,4.65829997999852,1.454682510456,9.67399721744426,9.89752904507017,10.1580917477546,16.8444416475256,21.3783673319619,27.588785668643
"22","Pitman River",0,0,0,0,0,0,0,0,0.0208219337872627,0,0,0,0,0,0,0,0
"23","Dunlevy",0,0,0,0,0,0.00378422718495131,0.00433642137795687,0.00709663750603795,0.0175547839995284,0,0,0,0,0,21.5566718739061,24.7022200790017,40.4256612113747
