"LANDSCAP_2","disturb_ha_2020","disturb_ha_2030","disturb_ha_2040","disturb_ha_2050","disturb_ha_2060","disturb_ha_2070","disturb_ha_2080","disturb_ha_2090","calc_area_ha","perc_disturb_2020","perc_disturb_2030","perc_disturb_2040","perc_disturb_2050","perc_disturb_2060","perc_disturb_2070","perc_disturb_2080","perc_disturb_2090"
"1","Upper Stikine River",0,0,0,0,0,0,0,0,0.0441169872140867,0,0,0,0,0,0,0,0
"2","Chukachida River",0,0,0,0,0,0,0,0,0.0241562180627298,0,0,0,0,0,0,0,0
"3","Graham",0.0108041269833095,0.0115850283192387,0.0103830184526643,0.0112671546377143,0.0116791244801036,0.0116791244801036,0.0116791244801036,0.0116791244801036,0.172565513075599,6.26088422347534,6.71340878763152,6.01685601462885,6.52920414797962,6.76793657779528,6.76793657779528,6.76793657779528,6.76793657779528
"4","Crying Girl",0,0,0,0,0.00162024155724794,0.00440913200964133,0.00440913200964133,0.00440913200964133,0.0366369303836807,0,0,0,0,4.42242715282077,12.0346654686041,12.0346654686041,12.0346654686041
"5","Lake",3422.8678487139,3691.02290608159,3857.94377948514,3892.39936877957,3839.23974181882,3892.37518607761,3930.82024293816,3982.45075631043,5901.9433006761,57.9956071133687,62.5391115780248,65.3673473793486,65.951148130035,65.0504341744356,65.9507383886884,66.6021349694746,67.4769402792165
"6","Carbon",0.00729657977353781,0.0067817292874679,0.00715324271004647,0.00729723495896906,0.00738522585015744,0.00781000172719359,0.00781000172719359,0.00781000172719359,0.0706972126627718,10.3208874844087,9.59264026407517,10.118139655898,10.3218142330124,10.4462758459591,11.0471140700378,11.0471140700378,11.0471140700378
"7","Pine Pass",2897.72680512248,2779.34792939006,2782.96212572089,2785.68466953785,1677.9179482619,1677.91852301425,1735.29962652987,1735.29962652987,10255.3691489493,28.2557045293621,27.1013933191747,27.1366353107435,27.1631828077416,16.3613608041969,16.3613664086012,16.9208889638814,16.9208889638814
"8","Burnt - Lemoray",0,0,0,0,0,0,0,0,0.0275433803008657,0,0,0,0,0,0,0,0
"9","Prophet",0,0,0,0,0,0,0,0,0.0135177580516492,0,0,0,0,0,0,0,0
"10","Gathto",0,0,0,0,0,0,0,0,0.0306115686779078,0,0,0,0,0,0,0,0
"11","Tuchodi",0,0,0,0,0,0,0,0,0.0387833582650108,0,0,0,0,0,0,0,0
"12","Churchill",0,0,0,0,0,0,0,0,0.0910329781866476,0,0,0,0,0,0,0,0
"13","Netson",0,0,0,0,0,0,0,0,0.0244813135113224,0,0,0,0,0,0,0,0
"14","Kechika",0,0,0,0,0,0,0,0,0.000107812145538628,0,0,0,0,0,0,0,0
"15","Sikanni",0,0,0,0,0,0,0,0,0.097935208469326,0,0,0,0,0,0,0,0
"16","Bluff Creek",0,0,0,0,0,0,0,0,24474.3620029249,0,0,0,0,0,0,0,0
"17","Frog-Gataga",25842.8393554688,15678.7657470703,15500.8472900391,9723.84777832031,5112.30120849609,5112.30120849609,5112.30120849609,5112.30120849609,313803.861917964,8.23534777345242,4.99635844225816,4.93966109763537,3.09870239291777,1.62913903520811,1.62913903520811,1.62913903520811,1.62913903520811
"18","Frog",9247.5576171875,8226.4541015625,7637.45361328125,3596.45361328125,0,0,0,0,252777.217430891,3.6583825517091,3.25442861709307,3.02141691838558,1.42277601194993,0,0,0,0
"19","Upper Gataga",0,0,0,0,0,0,0,0,101148.582907643,0,0,0,0,0,0,0,0
"20","Kwadacha",7474.99035644531,11,11,0,0,0,0,0,115960.133206016,6.44617261965817,0.00948601876858603,0.00948601876858603,0,0,0,0,0
"21","Upper Akie River",6918.7265625,0,0,0,0,0,0,0,148524.710564093,4.65829997999852,0,0,0,0,0,0,0
"22","Pitman River",0,0,0,0,0,0,0,0,0.0208219337872627,0,0,0,0,0,0,0,0
"23","Dunlevy",0,0,0,0,0,0,0,0.001961266156286,0.0175547839995284,0,0,0,0,0,0,0,11.1722602587346
"24","Chase",5344.50048828125,5344.50048828125,5317.6865234375,5279.390625,2812.88208007812,2812.88208007812,2812.88208007812,2814.56030273438,35945.2674837753,14.8684398876531,14.8684398876531,14.793843239135,14.6873037664359,7.8254587515527,7.8254587515527,7.8254587515527,7.83012757939494
"25","Asitka",0,0,0,0,0,0,0,0,0.0186952787116616,0,0,0,0,0,0,0,0
"26","Aiken",6343.974609375,6343.974609375,6464.80419921875,6845.07373046875,7758.73583984375,8001.73583984375,8112.73583984375,8165.73583984375,38465.9292246265,16.492451208779,16.492451208779,16.8065722823612,17.7951602065716,20.1704105327488,20.8021384147946,21.0907054720255,21.2284897425951
