"WATERSHED_","disturb_ha_2020","disturb_ha_2030","disturb_ha_2040","disturb_ha_2050","disturb_ha_2060","disturb_ha_2070","disturb_ha_2080","disturb_ha_2090","calc_area_ha","perc_disturb_2020","perc_disturb_2030","perc_disturb_2040","perc_disturb_2050","perc_disturb_2060","perc_disturb_2070","perc_disturb_2080","perc_disturb_2090"
"1",18183,0,0,0,0,0,0,0,0,2.28179781197538,0,0,0,0,0,0,0,0
"2",18166,0,0,0,0,0,0,0,0,2.00109213040636,0,0,0,0,0,0,0,0
"3",16790,0,0,0,0,0,0,0,0,3657.4747640343,0,0,0,0,0,0,0,0
"4",16789,0,0,0,0,0,0,0,0,240.348904259822,0,0,0,0,0,0,0,0
"5",16788,788.383972167969,788.383972167969,0,0,0,0,0,0,5133.46891461857,15.3577237006908,15.3577237006908,0,0,0,0,0,0
"6",16787,0,0,0,0,0,0,0,0,1077.82475603646,0,0,0,0,0,0,0,0
"7",16786,960.108619689941,960.108619689941,951.723217010498,951.723217010498,951.723217010498,951.723217010498,951.723217010498,951.723217010498,1009.20229959013,95.1353975392118,95.1353975392118,94.3045034079906,94.3045034079906,94.3045034079906,94.3045034079906,94.3045034079906,94.3045034079906
"8",16785,1621.64927317761,1621.64927317761,1605.99584960938,1547.49768066406,1513.49768066406,1513.49768066406,1513.49768066406,1513.49768066406,5628.72285487671,28.8102526094817,28.8102526094817,28.5321535811262,27.4928739709278,26.8888293079268,26.8888293079268,26.8888293079268,26.8888293079268
"9",16784,0.00993373245000839,0.00993373245000839,0.00993373245000839,0.00993373245000839,0.00993373245000839,0.00993373245000839,0.00993373245000839,0.00993373245000839,7483.74911307989,0.000132737379352369,0.000132737379352369,0.000132737379352369,0.000132737379352369,0.000132737379352369,0.000132737379352369,0.000132737379352369,0.000132737379352369
"10",16783,230.211349487305,230.211349487305,230.211349487305,230.211349487305,230.211349487305,230.211349487305,230.211349487305,230.211349487305,269.666807576221,85.3688118150158,85.3688118150158,85.3688118150158,85.3688118150158,85.3688118150158,85.3688118150158,85.3688118150158,85.3688118150158
"11",16781,1926.4228515625,1926.4228515625,1926.4228515625,1926.4228515625,1926.4228515625,1926.4228515625,1926.4228515625,1926.4228515625,9336.86912220351,20.6324285619617,20.6324285619617,20.6324285619617,20.6324285619617,20.6324285619617,20.6324285619617,20.6324285619617,20.6324285619617
"12",16776,230.038879394531,230.038879394531,230.038879394531,230.038879394531,230.038879394531,230.038879394531,230.038879394531,230.038879394531,861.678881167507,26.6965901593,26.6965901593,26.6965901593,26.6965901593,26.6965901593,26.6965901593,26.6965901593,26.6965901593
"13",16764,123.811378479004,123.811378479004,123.811378479004,123.811378479004,123.811378479004,123.811378479004,123.811378479004,123.811378479004,606.985920213934,20.3977348330199,20.3977348330199,20.3977348330199,20.3977348330199,20.3977348330199,20.3977348330199,20.3977348330199,20.3977348330199
"14",16479,0,0,0,0,0,0,0,0,0.888475836882151,0,0,0,0,0,0,0,0
"15",16509,0,0,0,0,0,0,0,0,5.47454942899933,0,0,0,0,0,0,0,0
"16",16510,0,0,0,0,0,0,0,0,58.4454017347065,0,0,0,0,0,0,0,0
"17",16514,0,0,0,0,0,0,0,0,1.26486649329506,0,0,0,0,0,0,0,0
"18",16515,0,0,0,0,0,0,0,0,47.8133816327497,0,0,0,0,0,0,0,0
"19",16518,0,0,0,0,0,0,0,0,8.03503354681686,0,0,0,0,0,0,0,0
"20",16531,0,0,0,0,0,0,0,0,5.12559540326435,0,0,0,0,0,0,0,0
"21",16530,0,0,0,0,0,0,0,0,1.7017192099211,0,0,0,0,0,0,0,0
"22",16532,0,0,0,0,0,0,0,0,4.59060475654142,0,0,0,0,0,0,0,0
"23",16533,0,0,0,0,0,0,0,0,7.20615343878924,0,0,0,0,0,0,0,0
"24",16469,0,0,0,0,0,0,0,0,2.98358438096142,0,0,0,0,0,0,0,0
"25",16472,0,0,0,0,0,0,0,0,0.923944801047782,0,0,0,0,0,0,0,0
"26",16471,0,0,0,0,0,0,0,0,10.9389467196764,0,0,0,0,0,0,0,0
"27",16726,0,0,0,0,0,0,0,0,7407.23272080355,0,0,0,0,0,0,0,0
